"Year","Total","Type"
1970,6,"bacteria,other,virus"
1971,4,"bacteria,other"
1972,1,"bacteria"
1973,2,"other,virus"
1974,2,"virus"
1975,2,"bacteria,other"
1976,6,"bacteria,virus"
1977,1,"virus"
1978,2,"virus"
1979,3,"bacteria"
1980,9,"bacteria,other"
1981,1,"bacteria"
1982,1,"virus"
1983,3,"bacteria,other"
1984,8,"bacteria,other,virus"
1985,3,"bacteria,virus"
1986,2,"bacteria"
1987,5,"bacteria,other,virus"
1988,3,"bacteria,other"
1989,5,"virus"
1990,19,"bacteria,other,virus"
1991,4,"other"
1992,3,"bacteria,other,virus"
1993,6,"other,virus"
1994,9,"bacteria,virus"
1995,10,"bacteria,other,virus"
1996,7,"bacteria,other,virus"
1997,7,"bacteria,other,virus"
1998,3,"bacteria,other,virus"
1999,5,"other,virus"
2000,2,"bacteria,other"
2001,2,"virus"
2002,1,"virus"
2003,2,"bacteria,virus"
